2020-07-08T12:04:46.125000,info,,,Web interface can be found at http://localhost:26000
2020-07-08T12:04:46.578000,open test case,,,Test case 1: kstet.no-name.1
2020-07-08T12:04:46.578000,info,,,Type: String. Default value: 'test'. Case 1 of 1441 overall.
2020-07-08T12:04:46.578000,open step,,,Calling procmon pre_send()
2020-07-08T12:04:53.859000,info,,,Opening target connection (172.16.0.24:9999)...
2020-07-08T12:04:53.859000,info,,,Connection opened.
2020-07-08T12:04:53.859000,open step,,,Fuzzing Node 'kstet'
2020-07-08T12:04:53.859000,info,,,Sending 8 bytes...
2020-07-08T12:04:53.859000,send,8,4b 53 54 45 54 20 0d 0a,"KSTET 
"
2020-07-08T12:04:53.859000,open step,,,Contact process monitor
2020-07-08T12:04:53.859000,check,,,procmon.post_send()
2020-07-08T12:04:54.062000,pass,,,No crash detected.
2020-07-08T12:04:54.062000,open step,,,Contact process monitor
2020-07-08T12:04:54.062000,check,,,procmon.post_send()
2020-07-08T12:04:54.281000,pass,,,No crash detected.
2020-07-08T12:04:54.281000,info,,,Closing target connection...
2020-07-08T12:04:54.281000,info,,,Connection closed.
2020-07-08T12:04:54.281000,open step,,,Sleep between tests.
2020-07-08T12:04:54.281000,info,,,sleeping for 1.000000 seconds
2020-07-08T12:04:55.296000,open test case,,,Test case 2: kstet.no-name.2
2020-07-08T12:04:55.296000,info,,,Type: String. Default value: 'test'. Case 2 of 1441 overall.
2020-07-08T12:04:55.296000,open step,,,Calling procmon pre_send()
2020-07-08T12:04:55.500000,info,,,Opening target connection (172.16.0.24:9999)...
2020-07-08T12:04:55.515000,info,,,Connection opened.
2020-07-08T12:04:55.515000,open step,,,Fuzzing Node 'kstet'
2020-07-08T12:04:55.515000,info,,,Sending 5014 bytes...
